Name,Type,Level,Tonnage,Power Drain,Equip Slots,Damage Regular,Damage Heat,Damage Stability,Total Damage Regular,Total Damage Heat,Total Damage Stability,Number of Shots,Range Min,Range Optimal,Range Max,Heat Gen,Critical Chance,Cost,Accuracy,Projectiles per Shot,Attack Recoil,Refire Modifier,Indirect Fire,Ammo Category,Range Tag,Weapon Category,Weapon Type,Weapon Sub Type,Prefab ID,Weapon Effect ID,GUI Feature A,GUI Feature B,Specials Code,Icon Code,Manf. Code,Weapon Model Name
Deathfire RL T2 L05,2,5,0.1250,2 1 1.01338,2,20,0,0,40,0,0,2,30,90,425,27,0.4500,356826,0,1,0,0,TRUE,DFR,long,Missile,LRM,LRM20,lrm20,LRM20,Stuns Weakens,,STUN_DF`0.83125 WEAKEN_DF`0.08750 HEAT_DF`3,Missile,WS,Death Fire Rocket Launcher
Deathfire RL T3 L05,3,5,0.1250,5 2 1.02549,2,23,0,0,46,0,0,2,30,90,450,45,0.7000,527155,0,1,0,0,TRUE,DFR,long,Missile,LRM,LRM20,lrm20,LRM20,Stuns Weakens,,STUN_DF`0.76250 WEAKEN_DF`0.12500 HEAT_DF`4,Missile,WS,Death Fire Rocket Launcher
Deathfire RL T4 L05,4,5,0.1250,11 5 1.03983,2,25,0,0,50,0,0,2,30,90,475,69,0.9500,762219,0,1,0,0,TRUE,DFR,long,Missile,LRM,LRM20,lrm20,LRM20,Stuns Weakens,,STUN_DF`0.69375 WEAKEN_DF`0.16250 HEAT_DF`5,Missile,WS,Death Fire Rocket Launcher
Deathfire RL T5 L05,5,5,0.1250,23 9 1.05583,2,28,0,0,56,0,0,2,30,90,500,99,1.2000,1052522,0,1,0,0,TRUE,DFR,long,Missile,LRM,LRM20,lrm20,LRM20,Stuns Weakens,,STUN_DF`0.62500 WEAKEN_DF`0.20000 HEAT_DF`6,Missile,WS,Death Fire Rocket Launcher
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deathfire RL T1 L06,1,6,0.1250,2 1 1.00667,2,15,0,0,45,0,0,3,30,90,400,23,0.2000,343139,0,1,0,0,TRUE,DFR,long,Missile,LRM,LRM20,lrm20,LRM20,Stuns Weakens,,STUN_DF`0.90000 WEAKEN_DF`0.05000 HEAT_DF`2,Missile,WS,Death Fire Rocket Launcher
Deathfire RL T2 L06,2,6,0.1250,3 2 1.01503,2,17,0,0,51,0,0,3,30,90,425,33,0.4500,444455,0,1,0,0,TRUE,DFR,long,Missile,LRM,LRM20,lrm20,LRM20,Stuns Weakens,,STUN_DF`0.83125 WEAKEN_DF`0.08750 HEAT_DF`3,Missile,WS,Death Fire Rocket Launcher
Deathfire RL T3 L06,3,6,0.1250,6 3 1.02762,2,20,0,0,60,0,0,3,30,90,450,53,0.7000,655641,0,1,0,0,TRUE,DFR,long,Missile,LRM,LRM20,lrm20,LRM20,Stuns Weakens,,STUN_DF`0.76250 WEAKEN_DF`0.12500 HEAT_DF`4,Missile,WS,Death Fire Rocket Launcher
Deathfire RL T4 L06,4,6,0.1250,13 6 1.04253,2,22,0,0,66,0,0,3,30,90,475,81,0.9500,947090,0,1,0,0,TRUE,DFR,long,Missile,LRM,LRM20,lrm20,LRM20,Stuns Weakens,,STUN_DF`0.69375 WEAKEN_DF`0.16250 HEAT_DF`5,Missile,WS,Death Fire Rocket Launcher
Deathfire RL T5 L06,5,6,0.1250,26 11 1.05917,2,25,0,0,75,0,0,3,30,90,500,116,1.2000,1307028,0,1,0,0,TRUE,DFR,long,Missile,LRM,LRM20,lrm20,LRM20,Stuns Weakens,,STUN_DF`0.62500 WEAKEN_DF`0.20000 HEAT_DF`6,Missile,WS,Death Fire Rocket Launcher
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deathfire RL T1 L07,1,7,0.1250,2 1 1.00800,2,19,0,0,57,0,0,3,30,90,400,27,0.2000,411167,0,1,0,0,TRUE,DFR,long,Missile,LRM,LRM20,lrm20,LRM20,Stuns Weakens,,STUN_DF`0.90000 WEAKEN_DF`0.05000 HEAT_DF`2,Missile,WS,Death Fire Rocket Launcher
Deathfire RL T2 L07,2,7,0.1250,4 2 1.01668,2,22,0,0,66,0,0,3,30,90,425,38,0.4500,532084,0,1,0,0,TRUE,DFR,long,Missile,LRM,LRM20,lrm20,LRM20,Stuns Weakens,,STUN_DF`0.83125 WEAKEN_DF`0.08750 HEAT_DF`3,Missile,WS,Death Fire Rocket Launcher
Deathfire RL T3 L07,3,7,0.1250,8 4 1.02975,2,25,0,0,75,0,0,3,30,90,450,61,0.7000,784127,0,1,0,0,TRUE,DFR,long,Missile,LRM,LRM20,lrm20,LRM20,Stuns Weakens,,STUN_DF`0.76250 WEAKEN_DF`0.12500 HEAT_DF`4,Missile,WS,Death Fire Rocket Launcher
Deathfire RL T4 L07,4,7,0.1250,16 7 1.04523,2,28,0,0,84,0,0,3,30,90,475,93,0.9500,1131960,0,1,0,0,TRUE,DFR,long,Missile,LRM,LRM20,lrm20,LRM20,Stuns Weakens,,STUN_DF`0.69375 WEAKEN_DF`0.16250 HEAT_DF`5,Missile,WS,Death Fire Rocket Launcher
Deathfire RL T5 L07,5,7,0.1250,29 12 1.06250,2,31,0,0,93,0,0,3,30,90,500,132,1.2000,1561533,0,1,0,0,TRUE,DFR,long,Missile,LRM,LRM20,lrm20,LRM20,Stuns Weakens,,STUN_DF`0.62500 WEAKEN_DF`0.20000 HEAT_DF`6,Missile,WS,Death Fire Rocket Launcher
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deathfire RL T1 L08,1,8,0.1250,3 2 1.00933,2,17,0,0,68,0,0,4,30,90,400,32,0.2000,479194,0,1,0,0,TRUE,DFR,long,Missile,LRM,LRM20,lrm20,LRM20,Stuns Weakens,,STUN_DF`0.90000 WEAKEN_DF`0.05000 HEAT_DF`2,Missile,WS,Death Fire Rocket Launcher
Deathfire RL T2 L08,2,8,0.1250,5 3 1.01833,2,20,0,0,80,0,0,4,30,90,425,44,0.4500,619713,0,1,0,0,TRUE,DFR,long,Missile,LRM,LRM20,lrm20,LRM20,Stuns Weakens,,STUN_DF`0.83125 WEAKEN_DF`0.08750 HEAT_DF`3,Missile,WS,Death Fire Rocket Launcher
Deathfire RL T3 L08,3,8,0.1250,9 5 1.03189,2,23,0,0,92,0,0,4,30,90,450,69,0.7000,912613,0,1,0,0,TRUE,DFR,long,Missile,LRM,LRM20,lrm20,LRM20,Stuns Weakens,,STUN_DF`0.76250 WEAKEN_DF`0.12500 HEAT_DF`4,Missile,WS,Death Fire Rocket Launcher
Deathfire RL T4 L08,4,8,0.1250,18 8 1.04793,2,26,0,0,104,0,0,4,30,90,475,104,0.9500,1316831,0,1,0,0,TRUE,DFR,long,Missile,LRM,LRM20,lrm20,LRM20,Stuns Weakens,,STUN_DF`0.69375 WEAKEN_DF`0.16250 HEAT_DF`5,Missile,WS,Death Fire Rocket Launcher
Deathfire RL T5 L08,5,8,0.1250,31 13 1.06583,2,29,0,0,116,0,0,4,30,90,500,148,1.2000,1816039,0,1,0,0,TRUE,DFR,long,Missile,LRM,LRM20,lrm20,LRM20,Stuns Weakens,,STUN_DF`0.62500 WEAKEN_DF`0.20000 HEAT_DF`6,Missile,WS,Death Fire Rocket Launcher
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deathfire RL T1 L09,1,9,0.1875,4 2 1.01067,3,21,0,0,84,0,0,4,30,90,400,36,0.2000,547222,0,1,0,0,TRUE,DFR,long,Missile,LRM,LRM20,lrm20,LRM20,Stuns Weakens,,STUN_DF`0.90000 WEAKEN_DF`0.05000 HEAT_DF`2,Missile,WS,Death Fire Rocket Launcher
Deathfire RL T2 L09,2,9,0.1875,6 3 1.01999,3,25,0,0,100,0,0,4,30,90,425,49,0.4500,707342,0,1,0,0,TRUE,DFR,long,Missile,LRM,LRM20,lrm20,LRM20,Stuns Weakens,,STUN_DF`0.83125 WEAKEN_DF`0.08750 HEAT_DF`3,Missile,WS,Death Fire Rocket Launcher
Deathfire RL T3 L09,3,9,0.1875,11 6 1.03402,3,28,0,0,112,0,0,4,30,90,450,77,0.7000,1041098,0,1,0,0,TRUE,DFR,long,Missile,LRM,LRM20,lrm20,LRM20,Stuns Weakens,,STUN_DF`0.76250 WEAKEN_DF`0.12500 HEAT_DF`4,Missile,WS,Death Fire Rocket Launcher
Deathfire RL T4 L09,4,9,0.1875,20 9 1.05063,3,31,0,0,124,0,0,4,30,90,475,116,0.9500,1501701,0,1,0,0,TRUE,DFR,long,Missile,LRM,LRM20,lrm20,LRM20,Stuns Weakens,,STUN_DF`0.69375 WEAKEN_DF`0.16250 HEAT_DF`5,Missile,WS,Death Fire Rocket Launcher
Deathfire RL T5 L09,5,9,0.1875,34 14 1.06917,3,35,0,0,140,0,0,4,30,90,500,164,1.2000,2070544,0,1,0,0,TRUE,DFR,long,Missile,LRM,LRM20,lrm20,LRM20,Stuns Weakens,,STUN_DF`0.62500 WEAKEN_DF`0.20000 HEAT_DF`6,Missile,WS,Death Fire Rocket Launcher
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deathfire RL T1 L10,1,10,0.1875,5 3 1.01200,3,20,0,0,100,0,0,5,30,90,400,40,0.2000,615250,0,1,0,0,TRUE,DFR,long,Missile,LRM,LRM20,lrm20,LRM20,Stuns Weakens,,STUN_DF`0.90000 WEAKEN_DF`0.05000 HEAT_DF`2,Missile,WS,Death Fire Rocket Launcher
Deathfire RL T2 L10,2,10,0.1875,7 4 1.02164,3,23,0,0,115,0,0,5,30,90,425,55,0.4500,794971,0,1,0,0,TRUE,DFR,long,Missile,LRM,LRM20,lrm20,LRM20,Stuns Weakens,,STUN_DF`0.83125 WEAKEN_DF`0.08750 HEAT_DF`3,Missile,WS,Death Fire Rocket Launcher
Deathfire RL T3 L10,3,10,0.1875,13 7 1.03615,3,27,0,0,135,0,0,5,30,90,450,85,0.7000,1169584,0,1,0,0,TRUE,DFR,long,Missile,LRM,LRM20,lrm20,LRM20,Stuns Weakens,,STUN_DF`0.76250 WEAKEN_DF`0.12500 HEAT_DF`4,Missile,WS,Death Fire Rocket Launcher
Deathfire RL T4 L10,4,10,0.1875,22 10 1.05332,3,30,0,0,150,0,0,5,30,90,475,128,0.9500,1686572,0,1,0,0,TRUE,DFR,long,Missile,LRM,LRM20,lrm20,LRM20,Stuns Weakens,,STUN_DF`0.69375 WEAKEN_DF`0.16250 HEAT_DF`5,Missile,WS,Death Fire Rocket Launcher
Deathfire RL T5 L10,5,10,0.1875,36 15 1.07250,3,33,0,0,165,0,0,5,30,90,500,180,1.2000,2325050,0,1,0,0,TRUE,DFR,long,Missile,LRM,LRM20,lrm20,LRM20,Stuns Weakens,,STUN_DF`0.62500 WEAKEN_DF`0.20000 HEAT_DF`6,Missile,WS,Death Fire Rocket Launcher
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rocket Launcher, Viper Nine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Type,Level,Tons,Drain,Slots,Damage / Shot,per,Attack,Total Damage,,,Shots,Range,,,Total Heat,Critical Mult.,Cost,Acc.,Pjct. / Shot,Recoil,Refire,Indirect Fire,Ammo Category,Range Tag,Category,Weapon Type,Weapon Sub Type,Prefab ID,Weapon Effect ID,GUI Feature A,GUI Feature B,Specials Code,Icon Code,Maker Code,Weapon Model Name
,,,,,,Regular,Heat,Stability,Regular,Heat,Stability,,Min,Optimal,Max,,,,,,,,,,,,,,,,,,,,,
Viper Nine RL T1 L01,1,1,0.0625,1 0 1.00000,1,9,0,1,9,0,1,1,500,900,1400,3,0.9000,23246,0,1,0,0,FALSE,ViperR,extreme,Missile,SRM,SRM6,srm6,SRM6,,,,Missile,WS,Viper Nine Rocket Launcher
Viper Nine RL T2 L01,2,1,0.0625,1 0 1.00391,1,10,0,1,10,0,1,1,500,900,1500,3,1.0750,46492,0,1,0,0,FALSE,ViperR,extreme,Missile,SRM,SRM6,srm6,SRM6,,,,Missile,WS,Viper Nine Rocket Launcher
Viper Nine RL T3 L01,3,1,0.0625,2 1 1.01563,1,12,0,1,12,0,1,1,500,900,1600,3,1.2500,69738,0,1,0,0,FALSE,ViperR,extreme,Missile,SRM,SRM6,srm6,SRM6,,,,Missile,WS,Viper Nine Rocket Launcher
Viper Nine RL T4 L01,4,1,0.0625,3 3 1.03516,1,13,0,1,13,0,1,1,500,900,1700,3,1.4250,92985,0,1,0,0,FALSE,ViperR,extreme,Missile,SRM,SRM6,srm6,SRM6,,,,Missile,WS,Viper Nine Rocket Launcher
Viper Nine RL T5 L01,5,1,0.0625,5 5 1.06250,1,15,0,1,15,0,1,1,500,900,1800,3,1.6000,116231,0,1,0,0,FALSE,ViperR,extreme,Missile,SRM,SRM6,srm6,SRM6,,,,Missile,WS,Viper Nine Rocket Launcher
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viper Nine RL T1 L02,1,2,0.0625,1 0 1.00175,1,7,0,1,14,0,2,2,500,900,1400,6,0.9000,30187,0,1,0,0,FALSE,ViperR,extreme,Missile,SRM,SRM6,srm6,SRM6,,,,Missile,WS,Viper Nine Rocket Launcher
Viper Nine RL T2 L02,2,2,0.0625,2 0 1.00619,1,8,0,1,16,0,2,2,500,900,1500,6,1.0750,60375,0,1,0,0,FALSE,ViperR,extreme,Missile,SRM,SRM6,srm6,SRM6,,,,Missile,WS,Viper Nine Rocket Launcher
Viper Nine RL T3 L02,3,2,0.0625,3 1 1.01953,1,9,0,1,18,0,2,2,500,900,1600,6,1.2500,90562,0,1,0,0,FALSE,ViperR,extreme,Missile,SRM,SRM6,srm6,SRM6,,,,Missile,WS,Viper Nine Rocket Launcher
Viper Nine RL T4 L02,4,2,0.0625,4 3 1.04175,1,10,0,1,20,0,2,2,500,900,1700,6,1.4250,120750,0,1,0,0,FALSE,ViperR,extreme,Missile,SRM,SRM6,srm6,SRM6,,,,Missile,WS,Viper Nine Rocket Launcher
Viper Nine RL T5 L02,5,2,0.0625,6 6 1.07287,1,11,0,1,22,0,2,2,500,900,1800,6,1.6000,150937,0,1,0,0,FALSE,ViperR,extreme,Missile,SRM,SRM6,srm6,SRM6,,,,Missile,WS,Viper Nine Rocket Launcher
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viper Nine RL T1 L03,1,3,0.1250,2 0 1.00469,2,8,0,1,24,0,3,3,500,900,1400,9,0.9000,39889,0,1,0,0,FALSE,ViperR,extreme,Missile,SRM,SRM6,srm6,SRM6,,,,Missile,WS,Viper Nine Rocket Launcher
Viper Nine RL T2 L03,2,3,0.1250,2 0 1.01004,2,9,0,1,27,0,3,3,500,900,1500,9,1.0750,79778,0,1,0,0,FALSE,ViperR,extreme,Missile,SRM,SRM6,srm6,SRM6,,,,Missile,WS,Viper Nine Rocket Launcher
Viper Nine RL T3 L03,3,3,0.1250,4 2 1.02611,2,10,0,1,30,0,3,3,500,900,1600,9,1.2500,119668,0,1,0,0,FALSE,ViperR,extreme,Missile,SRM,SRM6,srm6,SRM6,,,,Missile,WS,Viper Nine Rocket Launcher
Viper Nine RL T4 L03,4,3,0.1250,5 4 1.05287,2,11,0,1,33,0,3,3,500,900,1700,9,1.4250,159557,0,1,0,0,FALSE,ViperR,extreme,Missile,SRM,SRM6,srm6,SRM6,,,,Missile,WS,Viper Nine Rocket Launcher
Viper Nine RL T5 L03,5,3,0.1250,8 7 1.09035,2,12,0,1,36,0,3,3,500,900,1800,9,1.6000,199446,0,1,0,0,FALSE,ViperR,extreme,Missile,SRM,SRM6,srm6,SRM6,,,,Missile,WS,Viper Nine Rocket Launcher
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viper Nine RL T1 L04,1,4,0.1250,3 0 1.00836,2,9,0,1,36,0,4,4,500,900,1400,12,0.9000,51972,0,1,0,0,FALSE,ViperR,extreme,Missile,SRM,SRM6,srm6,SRM6,,,,Missile,WS,Viper Nine Rocket Launcher
Viper Nine RL T2 L04,2,4,0.1250,3 1 1.01484,2,10,0,1,40,0,4,4,500,900,1500,12,1.0750,103944,0,1,0,0,FALSE,ViperR,extreme,Missile,SRM,SRM6,srm6,SRM6,,,,Missile,WS,Viper Nine Rocket Launcher
Viper Nine RL T3 L04,3,4,0.1250,5 2 1.03430,2,11,0,1,44,0,4,4,500,900,1600,12,1.2500,155915,0,1,0,0,FALSE,ViperR,extreme,Missile,SRM,SRM6,srm6,SRM6,,,,Missile,WS,Viper Nine Rocket Launcher
Viper Nine RL T4 L04,4,4,0.1250,7 5 1.06673,2,13,0,1,52,0,4,4,500,900,1700,12,1.4250,207887,0,1,0,0,FALSE,ViperR,extreme,Missile,SRM,SRM6,srm6,SRM6,,,,Missile,WS,Viper Nine Rocket Launcher
Viper Nine RL T5 L04,5,4,0.1250,11 9 1.11213,2,14,0,1,56,0,4,4,500,900,1800,12,1.6000,259859,0,1,0,0,FALSE,ViperR,extreme,Missile,SRM,SRM6,srm6,SRM6,,,,Missile,WS,Viper Nine Rocket Launcher
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viper Nine RL T1 L05,1,5,0.1250,4 0 1.01260,2,8,0,1,48,0,6,6,500,900,1400,18,0.9000,66203,0,1,0,0,FALSE,ViperR,extreme,Missile,SRM,SRM6,srm6,SRM6,,,,Missile,WS,Viper Nine Rocket Launcher
Viper Nine RL T2 L05,2,5,0.1250,4 1 1.02039,2,9,0,1,54,0,6,6,500,900,1500,18,1.0750,132406,0,1,0,0,FALSE,ViperR,extreme,Missile,SRM,SRM6,srm6,SRM6,,,,Missile,WS,Viper Nine Rocket Launcher
Viper Nine RL T3 L05,3,5,0.1250,6 3 1.04377,2,11,0,1,66,0,6,6,500,900,1600,18,1.2500,198608,0,1,0,0,FALSE,ViperR,extreme,Missile,SRM,SRM6,srm6,SRM6,,,,Missile,WS,Viper Nine Rocket Launcher
Viper Nine RL T4 L05,4,5,0.1250,9 6 1.08273,2,12,0,1,72,0,6,6,500,900,1700,18,1.4250,264811,0,1,0,0,FALSE,ViperR,extreme,Missile,SRM,SRM6,srm6,SRM6,,,,Missile,WS,Viper Nine Rocket Launcher
Viper Nine RL T5 L05,5,5,0.1250,14 11 1.13728,2,13,0,1,78,0,6,6,500,900,1800,18,1.6000,331014,0,1,0,0,FALSE,ViperR,extreme,Missile,SRM,SRM6,srm6,SRM6,,,,Missile,WS,Viper Nine Rocket Launcher
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viper Nine RL T1 L06,1,6,0.1875,5 0 1.01731,3,9,0,1,63,0,7,7,500,900,1400,21,0.9000,82419,0,1,0,0,FALSE,ViperR,extreme,Missile,SRM,SRM6,srm6,SRM6,,,,Missile,WS,Viper Nine Rocket Launcher
Viper Nine RL T2 L06,2,6,0.1875,6 1 1.02656,3,11,0,1,77,0,7,7,500,900,1500,21,1.0750,164838,0,1,0,0,FALSE,ViperR,extreme,Missile,SRM,SRM6,srm6,SRM6,,,,Missile,WS,Viper Nine Rocket Launcher
Viper Nine RL T3 L06,3,6,0.1875,8 3 1.05430,3,12,0,1,84,0,7,7,500,900,1600,21,1.2500,247257,0,1,0,0,FALSE,ViperR,extreme,Missile,SRM,SRM6,srm6,SRM6,,,,Missile,WS,Viper Nine Rocket Launcher
Viper Nine RL T4 L06,4,6,0.1875,12 8 1.10054,3,13,0,1,91,0,7,7,500,900,1700,21,1.4250,329676,0,1,0,0,FALSE,ViperR,extreme,Missile,SRM,SRM6,srm6,SRM6,,,,Missile,WS,Viper Nine Rocket Launcher
Viper Nine RL T5 L06,5,6,0.1875,17 14 1.16528,3,15,0,1,105,0,7,7,500,900,1800,21,1.6000,412096,0,1,0,0,FALSE,ViperR,extreme,Missile,SRM,SRM6,srm6,SRM6,,,,Missile,WS,Viper Nine Rocket Launcher
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viper Nine RL T1 L07,1,7,0.1875,6 0 1.02245,3,9,0,1,81,0,9,9,500,900,1400,27,0.9000,100497,0,1,0,0,FALSE,ViperR,extreme,Missile,SRM,SRM6,srm6,SRM6,,,,Missile,WS,Viper Nine Rocket Launcher
Viper Nine RL T2 L07,2,7,0.1875,7 1 1.03328,3,10,0,1,90,0,9,9,500,900,1500,27,1.0750,200994,0,1,0,0,FALSE,ViperR,extreme,Missile,SRM,SRM6,srm6,SRM6,,,,Missile,WS,Viper Nine Rocket Launcher
Viper Nine RL T3 L07,3,7,0.1875,10 4 1.06578,3,12,0,1,108,0,9,9,500,900,1600,27,1.2500,301491,0,1,0,0,FALSE,ViperR,extreme,Missile,SRM,SRM6,srm6,SRM6,,,,Missile,WS,Viper Nine Rocket Launcher
Viper Nine RL T4 L07,4,7,0.1875,14 9 1.11994,3,13,0,1,117,0,9,9,500,900,1700,27,1.4250,401988,0,1,0,0,FALSE,ViperR,extreme,Missile,SRM,SRM6,srm6,SRM6,,,,Missile,WS,Viper Nine Rocket Launcher
Viper Nine RL T5 L07,5,7,0.1875,20 16 1.19577,3,15,0,1,135,0,9,9,500,900,1800,27,1.6000,502485,0,1,0,0,FALSE,ViperR,extreme,Missile,SRM,SRM6,srm6,SRM6,,,,Missile,WS,Viper Nine Rocket Launcher
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viper Nine RL T1 L08,1,8,0.2500,7 0 1.02796,4,9,0,1,99,0,11,11,500,900,1400,33,0.9000,120338,0,1,0,0,FALSE,ViperR,extreme,Missile,SRM,SRM6,srm6,SRM6,,,,Missile,WS,Viper Nine Rocket Launcher
Viper Nine RL T2 L08,2,8,0.2500,8 1 1.04049,4,10,0,1,110,0,11,11,500,900,1500,33,1.0750,240676,0,1,0,0,FALSE,ViperR,extreme,Missile,SRM,SRM6,srm6,SRM6,,,,Missile,WS,Viper Nine Rocket Launcher
Viper Nine RL T3 L08,3,8,0.2500,11 5 1.07810,4,12,0,1,132,0,11,11,500,900,1600,33,1.2500,361015,0,1,0,0,FALSE,ViperR,extreme,Missile,SRM,SRM6,srm6,SRM6,,,,Missile,WS,Viper Nine Rocket Launcher
Viper Nine RL T4 L08,4,8,0.2500,17 11 1.14077,4,13,0,1,143,0,11,11,500,900,1700,33,1.4250,481353,0,1,0,0,FALSE,ViperR,extreme,Missile,SRM,SRM6,srm6,SRM6,,,,Missile,WS,Viper Nine Rocket Launcher
Viper Nine RL T5 L08,5,8,0.2500,24 19 1.22851,4,15,0,1,165,0,11,11,500,900,1800,33,1.6000,601691,0,1,0,0,FALSE,ViperR,extreme,Missile,SRM,SRM6,srm6,SRM6,,,,Missile,WS,Viper Nine Rocket Launcher
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viper Nine RL T1 L09,1,9,0.2500,9 0 1.03382,4,8,0,1,112,0,14,14,500,900,1400,42,0.9000,141862,0,1,0,0,FALSE,ViperR,extreme,Missile,SRM,SRM6,srm6,SRM6,,,,Missile,WS,Viper Nine Rocket Launcher
Viper Nine RL T2 L09,2,9,0.2500,10 1 1.04816,4,10,0,1,140,0,14,14,500,900,1500,42,1.0750,283724,0,1,0,0,FALSE,ViperR,extreme,Missile,SRM,SRM6,srm6,SRM6,,,,Missile,WS,Viper Nine Rocket Launcher
Viper Nine RL T3 L09,3,9,0.2500,13 5 1.09119,4,11,0,1,154,0,14,14,500,900,1600,42,1.2500,425586,0,1,0,0,FALSE,ViperR,extreme,Missile,SRM,SRM6,srm6,SRM6,,,,Missile,WS,Viper Nine Rocket Launcher
Viper Nine RL T4 L09,4,9,0.2500,19 12 1.16290,4,13,0,1,182,0,14,14,500,900,1700,42,1.4250,567448,0,1,0,0,FALSE,ViperR,extreme,Missile,SRM,SRM6,srm6,SRM6,,,,Missile,WS,Viper Nine Rocket Launcher
Viper Nine RL T5 L09,5,9,0.2500,28 22 1.26330,4,14,0,1,196,0,14,14,500,900,1800,42,1.6000,709310,0,1,0,0,FALSE,ViperR,extreme,Missile,SRM,SRM6,srm6,SRM6,,,,Missile,WS,Viper Nine Rocket Launcher
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viper Nine RL T1 L10,1,10,0.2500,10 0 1.04000,4,9,0,1,144,0,16,16,500,900,1400,48,0.9000,165000,0,1,0,0,FALSE,ViperR,extreme,Missile,SRM,SRM6,srm6,SRM6,,,,Missile,WS,Viper Nine Rocket Launcher
Viper Nine RL T2 L10,2,10,0.2500,11 2 1.05625,4,10,0,1,160,0,16,16,500,900,1500,48,1.0750,330000,0,1,0,0,FALSE,ViperR,extreme,Missile,SRM,SRM6,srm6,SRM6,,,,Missile,WS,Viper Nine Rocket Launcher
Viper Nine RL T3 L10,3,10,0.2500,16 6 1.10500,4,12,0,1,192,0,16,16,500,900,1600,48,1.2500,495000,0,1,0,0,FALSE,ViperR,extreme,Missile,SRM,SRM6,srm6,SRM6,,,,Missile,WS,Viper Nine Rocket Launcher
Viper Nine RL T4 L10,4,10,0.2500,22 14 1.18625,4,13,0,1,208,0,16,16,500,900,1700,48,1.4250,660000,0,1,0,0,FALSE,ViperR,extreme,Missile,SRM,SRM6,srm6,SRM6,,,,Missile,WS,Viper Nine Rocket Launcher
Viper Nine RL T5 L10,5,10,0.2500,32 25 1.30000,4,14,0,1,224,0,16,16,500,900,1800,48,1.6000,825000,0,1,0,0,FALSE,ViperR,extreme,Missile,SRM,SRM6,srm6,SRM6,,,,Missile,WS,Viper Nine Rocket Launcher
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Machine Gun, Enforcer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Type,Level,Tons,Drain,Slots,Damage / Shot,per,Attack,Total Damage,,,Shots,Range,,,Total Heat,Critical Mult.,Cost,Acc.,Pjct. / Shot,Recoil,Refire,Indirect Fire,Ammo Category,Range Tag,Category,Weapon Type,Weapon Sub Type,Prefab ID,Weapon Effect ID,GUI Feature A,GUI Feature B,Specials Code,Icon Code,Maker Code,Weapon Model Name
,,,,,,Regular,Heat,Stability,Regular,Heat,Stability,,Min,Optimal,Max,,,,,,,,,,,,,,,,,,,,,
Enforcer UK-MG T1,1, ,0.0000,0 0 1.00000,1,8,0,0,25,0,0,3,0,60,120,0,1.6000,25025,0,1,0,0,FALSE,UKMG,short,Support,MG,MachineGun,MachineGun,MachineGun,,,,Support,WS,Enforcer Ultra-Kinetic Machine Gun
Enforcer UK-MG T2,2,,0.0000,1 0 1.02000,1,10,0,0,29,0,0,3,0,60,150,0,1.7000,31277,0,1,0,0,FALSE,UKMG,short,Support,MG,MachineGun,MachineGun,MachineGun,,,,Support,WS,Enforcer Ultra-Kinetic Machine Gun
Enforcer UK-MG T3,3,,0.0000,3 0 1.05657,1,11,0,0,34,0,0,3,0,60,180,0,1.8000,50031,0,1,0,0,FALSE,UKMG,short,Support,MG,MachineGun,MachineGun,MachineGun,,,,Support,WS,Enforcer Ultra-Kinetic Machine Gun
Enforcer UK-MG T4,4,,0.0000,7 0 1.10392,1,14,0,0,42,0,0,3,0,60,210,0,1.9000,81289,0,1,0,0,FALSE,UKMG,short,Support,MG,MachineGun,MachineGun,MachineGun,,,,Support,WS,Enforcer Ultra-Kinetic Machine Gun
